pattern_id	repo	pattern	evidence	value	stack_setup_improvement
P001	both	pinned-source scorecards	repo@0f429d0:repo metadata; repo@9b2ef9e:repo metadata	Forces source, license, commit, and authority boundary into one review surface	Add source-scorecard template to setup-audit reports
P002	both	executable-surface inventory before install	repo@0f429d0:1032 scripts; repo@9b2ef9e:824 scripts	Prevents star-count trust from hiding runtime risk	Add script/tool count to marketplace source review
P003	both	marketplace listing is discovery only	repo@0f429d0:.claude-plugin/marketplace.json; repo@9b2ef9e:.claude-plugin/marketplace.json	Keeps adapter authority separate from source acquisition	Keep native-first policy split between adapter docs and source review
P004	privacy-data-protection-skills	domain plugin segmentation	repo@9b2ef9e:.claude-plugin/marketplace.json	Allows narrow install choices instead of all-in packages	Add optional plugin segmentation notes to our README
P005	privacy-data-protection-skills	complete bundle plus domain bundles	repo@9b2ef9e:.claude-plugin/marketplace.json	Supports beginner and expert install paths	Add "complete bundle is high-review" language to source policy
P006	anthropic-cybersecurity-skills	framework mappings as catalog value	repo@0f429d0:ATTACK_COVERAGE.md; mappings/	Skill value increases when mapped to MITRE/NIST frameworks	Add evidence field for framework mappings in candidate reviews
P007	privacy-data-protection-skills	regulation coverage table	repo@9b2ef9e:README.md	Highlights jurisdiction/domain scope quickly	Add legal-freshness field for compliance sources
P008	both	SECURITY.md as maturity signal	repo@0f429d0:SECURITY.md; repo@9b2ef9e:SECURITY.md	Supports vulnerability reporting and maintenance assessment	Add security-policy-present field to repo scorecards
P009	both	CITATION.cff as provenance signal	repo@0f429d0:CITATION.cff; repo@9b2ef9e:CITATION.cff	Useful for dataset-like skill collections	Add citation-present field to scorecards
P010	anthropic-cybersecurity-skills	index.json catalog	repo@0f429d0:index.json	Machine-readable search surface for large catalogs	Add optional index ingestion rule if source provides catalog
P011	both	no script execution during review	repo@0f429d0:scripts/*; repo@9b2ef9e:scripts/process.py	Large script surfaces can be inspected statically first	Add "no third-party script execution" as source-review invariant
P012	anthropic-cybersecurity-skills	prompt-injection fixtures as allowed data	repo@0f429d0:skills/detecting-ai-model-prompt-injection-attacks/SKILL.md	Scanner must distinguish examples from malicious instructions	Add fixture-aware prompt-injection scanner severity
P013	privacy-data-protection-skills	LLM privacy-risk test fixtures	repo@9b2ef9e:skills/privacy/llm-output-privacy-risk/scripts/process.py	Shows valid prompt-injection examples in defensive context	Add whitelist note for quoted test data with evidence
P014	anthropic-cybersecurity-skills	offensive domain authorization gates	repo@0f429d0:skills/performing-wireless-network-penetration-test/SKILL.md	Prevents misuse of pentest workflows	Add dangerous-operation classifier to import-candidates.tsv
P015	privacy-data-protection-skills	high-stakes compliance disclaimer	repo@9b2ef9e:README.md	Prevents treating templates as professional advice	Add high-stakes source type to setup-audit safe source policy
P016	both	count consistency check	repo@0f429d0:.claude-plugin/plugin.json; repo@9b2ef9e:CHANGELOG.md	Detects stale manifests and copied metadata	Add verifier rule for marketplace count versus filesystem
P017	privacy-data-protection-skills	standard-library process scripts	repo@9b2ef9e:CHANGELOG.md	May reduce dependency risk	Still do not run until reviewed; add dependency-surface field
P018	anthropic-cybersecurity-skills	framework coverage artifacts	repo@0f429d0:ATTACK_COVERAGE.md	Can teach our reports to show coverage matrices	Add optional coverage-matrix output for source distillation
P019	both	plugin source path review	repo@0f429d0:.claude-plugin/marketplace.json; repo@9b2ef9e:.claude-plugin/marketplace.json	Prevents path confusion between root, plugin, and skill folders	Add marketplace path traversal and source-path sanity checks
P020	privacy-data-protection-skills	privacy plugin categories as install decision guide	repo@9b2ef9e:.claude-plugin/marketplace.json	Clear mapping from need to plugin	Add category-to-use-case matrix in our setup recommendations
P021	anthropic-cybersecurity-skills	large corpus as scanner stress test	repo@0f429d0:754 SKILL.md files	Useful for testing false positives and runtime-risk detection	Add this repo as optional scanner benchmark source, not vendored content
P022	privacy-data-protection-skills	duplicate root and plugin skill copies	repo@9b2ef9e:skills/privacy/* and plugins/*/skills/*	Shows drift risk when packaging duplicates skills	Add duplicate-derived-artifact drift rule
