risk_id	repo_or_scope	risk	scanner_or_control_candidate	severity	evidence	proposed_action
R001	both	bulk install of community marketplace with executable scripts	Require pinned commit, per-skill review, and no bulk install default	high	repo@0f429d0:1032 scripts; repo@9b2ef9e:824 scripts	Add source-review gate before install recommendation
R002	anthropic-cybersecurity-skills	offensive cyber workflows could be misused	Detect terms: exploit, C2, payload, pentest, red-team, wireless cracking, malware execution	high	repo@0f429d0:skills/building-c2-infrastructure-with-sliver-framework/SKILL.md	Classify as link-only unless authorized scope exists
R003	privacy-data-protection-skills	stale legal or regulatory claims	Require primary-source freshness field and date check	high	repo@9b2ef9e:SECURITY.md lists inaccurate regulatory citations as reportable	Add legal-staleness risk rule
R004	both	platform adapter claims from community README	Separate source acquisition from adapter authority	medium	repo@0f429d0:README.md; repo@9b2ef9e:README.md	Use official client docs for adapter behavior
R005	both	prompt-injection strings in defensive examples	Flag direct instruction-hijack phrases; downgrade only when quoted fixture evidence exists	medium	repo@0f429d0:detecting-ai-model-prompt-injection-attacks; repo@9b2ef9e:llm-output-privacy-risk	Add fixture-aware scanner mode
R006	anthropic-cybersecurity-skills	fetch-and-execute snippets	Flag curl/wget/iwr piped to shells even in docs	high	repo@0f429d0:skills/building-c2-infrastructure-with-sliver-framework/SKILL.md	Add fetch-execute review gate
R007	both	secret-shaped example tokens	Flag secret-shaped strings but allow fake-token classification after evidence	medium	repo@0f429d0:performing-cryptographic-audit-of-application/scripts/process.py	Add secret fixture classifier
R008	privacy-data-protection-skills	duplicate packaged skill copies can drift	Check root skill hash versus plugin skill hash for duplicates	medium	repo@9b2ef9e:skills/privacy/* and plugins/*/skills/*	Add derived-copy drift rule
R009	both	count mismatch between README, plugin manifest, filesystem	Verifier compares declared skill counts to actual SKILL.md count	low	repo@0f429d0:.claude-plugin/plugin.json; repo@9b2ef9e:CHANGELOG.md	Add manifest count consistency check
R010	both	marketplace source path could point outside expected plugin root	Assert marketplace source paths are relative and stay inside repo	high	repo@0f429d0:.claude-plugin/marketplace.json; repo@9b2ef9e:.claude-plugin/marketplace.json	Add path traversal check
R011	anthropic-cybersecurity-skills	malware analysis scripts may parse untrusted binaries	Never run third-party scripts during source review	high	repo@0f429d0:skills/*/scripts/	Add no-execution default
R012	privacy-data-protection-skills	templates may include realistic personal or organizational data	Scan assets/templates for PII-shaped examples	medium	repo@9b2ef9e:assets/template.md; plugins/*/assets	Add PII-template scanner
R013	both	license metadata might not cover nested third-party snippets	Check nested license notices before vendoring	medium	repo@0f429d0:LICENSE; repo@9b2ef9e:LICENSE	Add third-party-notice gate
R014	anthropic-cybersecurity-skills	tool install commands may mutate host	Flag apt, brew, pip install, curl install, docker run in skills	medium	repo@0f429d0:skills/*/SKILL.md	Add install-command inventory
R015	privacy-data-protection-skills	regulatory citations may be fabricated or outdated	Check cited regulation names against primary source URLs	high	repo@9b2ef9e:CITATION.cff; README.md	Add citation-validation backlog item
R016	both	auth/network/tool surfaces are hidden inside scripts	Static scan import modules and subprocess calls in scripts	medium	repo@0f429d0:scripts/*.py; repo@9b2ef9e:scripts/process.py	Add script capability extractor
R017	anthropic-cybersecurity-skills	wireless/network scanning workflows can hit third-party systems	Require target ownership confirmation for scan/exploit verbs	high	repo@0f429d0:skills/performing-wireless-network-penetration-test/SKILL.md	Add authorization question to cyber candidates
R018	privacy-data-protection-skills	high-stakes compliance outputs can be over-trusted	Label as workflow aid only; require counsel/regulator verification for final decisions	high	repo@9b2ef9e:README.md	Add high-stakes recommendation disclaimer template
R019	both	community source maintenance may stop	Record pushed_at and stale threshold	medium	repo@0f429d0:pushed_at 2026-05-13; repo@9b2ef9e:pushed_at 2026-03-16	Add staleness score
R020	both	conversion could drop scripts/assets/references	Use converter blocked status when target does not preserve resources	high	repo@0f429d0:references/assets/scripts; repo@9b2ef9e:references/assets/scripts	Keep lossy conversion block
