opportunity_id	source_repo	source_artifact	target_platforms	conversion_type	value	blocker_or_guard	evidence
O001	privacy-data-protection-skills	plugins/privacy-engineering-skills	Codex, Claude Code, Cursor, GitHub Copilot	selective skill conversion	Privacy engineering recipes can improve setup-audit risk profiles	Review scripts and keep references/assets intact	repo@9b2ef9e:plugins/privacy-engineering-skills
O002	privacy-data-protection-skills	plugins/data-classification-skills	Codex, Claude Code	selective skill conversion	PII discovery and data inventory are useful pre-audit checks	Need test fixtures and no live data exfiltration	repo@9b2ef9e:plugins/data-classification-skills
O003	anthropic-cybersecurity-skills	skills/detecting-ai-model-prompt-injection-attacks	Codex scanner fixtures	concept extraction	Improve prompt-injection scanner false-positive handling	Do not copy entire script without review	repo@0f429d0:skills/detecting-ai-model-prompt-injection-attacks
O004	anthropic-cybersecurity-skills	skills/securing-github-actions-workflows	Codex setup-audit recommendation	concept extraction	CI setup hardening is in scope for repo onboarding	Use GitHub docs as authority	repo@0f429d0:skills/securing-github-actions-workflows
O005	anthropic-cybersecurity-skills	skills/hunting-for-supply-chain-compromise	Codex scanner rules	concept extraction	Fetch-execute, unpinned dependency, and CI compromise patterns	No live scanning or external calls	repo@0f429d0:skills/hunting-for-supply-chain-compromise
O006	privacy-data-protection-skills	plugins/cookie-consent-skills	Cursor/Windsurf/Codex rules	link-only guidance	Web apps benefit from cookie/privacy setup prompts	Regulatory source freshness required	repo@9b2ef9e:plugins/cookie-consent-skills
O007	privacy-data-protection-skills	plugins/ai-privacy-governance-skills	AGENTS.md/rules/link-only	source review template	AI projects need privacy risk prompts	High legal staleness risk	repo@9b2ef9e:plugins/ai-privacy-governance-skills
O008	anthropic-cybersecurity-skills	ATTACK_COVERAGE.md	setup-audit reports	pattern adoption	Coverage matrix can improve audit transparency	Do not imply coverage equals safety	repo@0f429d0:ATTACK_COVERAGE.md
O009	privacy-data-protection-skills	.claude-plugin/marketplace.json	our README/docs	packaging pattern	Domain plugin split can inspire future marketplace layout	Requires generator or drift verifier	repo@9b2ef9e:.claude-plugin/marketplace.json
O010	anthropic-cybersecurity-skills	index.json	source ingestion tooling	pattern adoption	Machine-readable index can feed candidate search	Index itself needs scan/review	repo@0f429d0:index.json
O011	both	SECURITY.md	source scorecard	pattern adoption	Security policy presence is a maturity signal	Not proof of source correctness	repo@0f429d0:SECURITY.md; repo@9b2ef9e:SECURITY.md
O012	both	CITATION.cff	source scorecard	pattern adoption	Citation metadata helps provenance	Not proof of validation	repo@0f429d0:CITATION.cff; repo@9b2ef9e:CITATION.cff
O013	anthropic-cybersecurity-skills	DFIR skills	Codex link-only catalog	link candidates	Forensics workflows can be useful without execution	Need evidence handling policy	repo@0f429d0:skills/acquiring-disk-image-with-dd-and-dcfldd
O014	privacy-data-protection-skills	data-breach-response-skills	Codex link-only catalog	link candidates	Incident response checklists can support planning	Notification claims must be primary-sourced	repo@9b2ef9e:plugins/data-breach-response-skills
O015	both	large script corpora	scan_skills future benchmark	test corpus	Good stress test for prompt-injection and fetch-execute scanning	Keep outside repo; do not vendor	repo@0f429d0:scripts; repo@9b2ef9e:scripts
O016	anthropic-cybersecurity-skills	malware/C2/offensive skills	avoid-list taxonomy	reject classifier	Improves safe-source avoid-list specificity	Reject by default unless explicit authorized red-team scope	repo@0f429d0:skills/building-c2-infrastructure-with-sliver-framework
